method,stiffness,mean_abs_force_error,rms_force_error,max_force,safety_violation_rate,contact_loss_rate,tangential_distance,injected_energy
gain_schedule,35.0,5.4209225319102545,5.422321959014929,2.9963027528766446,0.0,0.0,0.12895387340448725,0.0
gain_schedule,50.0,4.31601897144697,4.317817738513253,4.1645781018930625,0.0,0.0,0.18419905142765147,0.0
gain_schedule,75.0,2.4747520487572294,2.4780089739060602,6.113710781748908,0.0,0.0,0.27626239756213855,0.0
gain_schedule,100.0,0.6343861004293281,0.6467414642231487,8.047406292479838,0.0,0.0,0.36829487538172323,0.0
gain_schedule,150.0,3.0482085595094226,3.05115448599305,11.886111569386031,0.0,0.0,0.3688487347695439,0.0
gain_schedule,225.0,8.570575085082398,8.571734080211698,17.60309575399786,0.0,0.0,0.3208059424648992,0.0
gain_schedule,325.0,15.933273267504235,15.933978552234358,25.183094677701305,1.0,0.0,0.2701355435824691,0.0
gain_schedule,475.0,26.976768985295838,26.977260728970492,36.50164340579218,1.0,0.0,0.21463998043205898,0.0
impedance_token,35.0,4.122139014874338,4.315782051885102,5.823412142350925,0.0,0.11125,0.19389304925628315,0.4954814627933142
impedance_token,50.0,3.236830463716173,3.5359454920973756,6.772502976185585,0.0,0.03916666666666667,0.23815847681419133,0.4597635992745172
impedance_token,75.0,2.239279262005494,2.6715688592851023,7.610111827228825,0.0,0.0,0.2880360368997253,0.37547893248441566
impedance_token,100.0,1.6079352751684066,2.1133427983231954,7.984738320455857,0.0,0.0,0.319606883632587,0.3026002627581675
impedance_token,150.0,0.9193234389645951,1.4348755220865286,8.235276377463274,0.0,0.0,0.3543138805964792,0.20821298583048078
impedance_token,225.0,0.4893187413650157,0.8919703373513661,8.309525325621138,0.0,0.0,0.376439181310204,0.13976534845974098
impedance_token,325.0,0.26679878371269883,0.5212241492614567,8.32666667356569,0.0,0.0,0.38803069491367476,0.09793773037396984
impedance_token,475.0,0.15328057842252443,0.268061154505187,8.342052974034392,0.0,0.0,0.3941133531213546,0.06954707275149069
kinematic_chunk,35.0,5.192713482072622,5.194163087510552,3.1506641759985747,0.0,0.0,0.1403643258963689,0.0
kinematic_chunk,50.0,3.9929482743445077,3.9948200732147345,4.348333345136009,0.0,0.0,0.20035258628277464,0.0
kinematic_chunk,75.0,1.994294289772691,1.997973652338817,6.342877038159901,0.0,0.0,0.30028528551136546,0.0
kinematic_chunk,100.0,0.0963104147320059,0.12058069316266884,8.340586223926676,0.0,0.0,0.3971436544042692,0.0
kinematic_chunk,150.0,3.998311772596375,4.000144378960929,12.339291091615323,0.0,0.0,0.35985700990967134,0.0
kinematic_chunk,225.0,9.988544861437488,9.98941304529013,18.34069714016862,0.47625,0.0,0.3099762764697347,0.0
kinematic_chunk,325.0,17.973696156808703,17.974443946778106,26.342235593248564,1.0,0.0,0.25827100782247797,0.0
kinematic_chunk,475.0,29.949219993422332,29.950162466439533,38.344238411720475,1.0,0.0,0.20281416407464317,0.0
